symbol,ts,year,ret1,vol_ratio,entry,REF_status,REF_close_ret,REF_tp_hit,A_status,A_close_ret,A_tp_hit,B_status,B_close_ret,B_tp_hit
ZEC/USDT,2024-07-05 02:00:00+00:00,2024,-8.7,2.31,16.26,win,5.0,TP1,win,10.0,TP2,win,8.0,TP1
ZEC/USDT,2025-10-02 06:00:00+00:00,2025,-9.64,1.7,137.93,win,5.0,TP1,win,5.0,TP1,win,8.0,TP1
ZEC/USDT,2025-10-10 07:00:00+00:00,2025,-8.55,1.65,227.07,win,5.0,TP1,win,5.0,TP1,loss,-4.0,
ZEC/USDT,2025-10-10 21:00:00+00:00,2025,-13.89,2.4,194.01,win,5.0,TP1,win,10.0,TP2,win,8.0,TP1
ZEC/USDT,2025-10-22 17:00:00+00:00,2025,-7.29,2.5,242.18,expired,-0.12,,loss,-3.0,,loss,-4.0,
ZEC/USDT,2025-11-21 22:00:00+00:00,2025,-8.39,1.53,520.08,win,5.0,TP1,win,5.0,TP1,loss,-4.0,
ZEC/USDT,2025-12-03 20:00:00+00:00,2025,-8.03,2.11,344.48,win,5.0,TP1,win,5.0,TP1,expired,5.67,
ICP/USDT,2022-01-22 09:00:00+00:00,2022,-7.02,1.83,19.72,win,5.0,TP1,win,5.0,TP1,loss,-4.0,
ICP/USDT,2024-03-05 19:00:00+00:00,2024,-14.69,1.6,12.891,win,5.0,TP1,win,5.0,TP1,win,8.0,TP1
ICP/USDT,2024-07-05 02:00:00+00:00,2024,-7.85,2.61,5.988,win,5.0,TP1,win,5.0,TP1,win,8.0,TP1
ICP/USDT,2025-11-04 05:00:00+00:00,2025,-8.4,2.49,4.763,win,5.0,TP1,win,5.0,TP1,win,8.0,TP1
ICP/USDT,2025-11-04 21:00:00+00:00,2025,-7.39,1.58,5.202,win,5.0,TP1,win,5.0,TP1,loss,-4.0,
ICP/USDT,2025-11-09 02:00:00+00:00,2025,-11.72,2.0,7.894,expired,-8.73,,loss,-3.0,,loss,-4.0,
ICP/USDT,2025-11-09 09:00:00+00:00,2025,-7.28,1.77,7.214,win,5.0,TP1,loss,-3.0,,loss,-4.0,
ICP/USDT,2026-01-18 23:00:00+00:00,2026,-7.33,2.22,3.896,win,5.0,TP1,loss,-3.0,,loss,-4.0,
THETA/USDT,2024-02-27 11:00:00+00:00,2024,-9.02,1.78,1.987,win,5.0,TP1,win,5.0,TP1,loss,-4.0,
THETA/USDT,2024-12-20 08:00:00+00:00,2024,-8.57,2.28,1.9,win,5.0,TP1,loss,-3.0,,loss,-4.0,
EOS/USDT,2022-05-09 23:00:00+00:00,2022,-9.35,2.33,1.59,win,5.0,TP1,win,5.0,TP1,win,8.0,TP1
EOS/USDT,2022-11-09 21:00:00+00:00,2022,-8.47,2.56,0.811,win,5.0,TP1,win,5.0,TP1,win,8.0,TP1
EOS/USDT,2024-03-05 19:00:00+00:00,2024,-10.6,2.77,0.9881,win,5.0,TP1,win,5.0,TP1,expired,5.08,
EOS/USDT,2024-04-13 19:00:00+00:00,2024,-9.02,2.7,0.7601,expired,-2.78,,loss,-3.0,,loss,-4.0,
EOS/USDT,2025-04-06 21:00:00+00:00,2025,-7.85,2.22,0.7197,win,5.0,TP1,loss,-3.0,,loss,-4.0,
APT/USDT,2022-11-09 18:00:00+00:00,2022,-11.21,2.25,3.7548,win,5.0,TP1,win,10.0,TP2,win,8.0,TP1
APT/USDT,2022-11-09 21:00:00+00:00,2022,-7.11,1.67,3.6527,win,5.0,TP1,win,5.0,TP1,win,8.0,TP1
APT/USDT,2022-11-14 00:00:00+00:00,2022,-7.42,2.69,3.9064,win,5.0,TP1,loss,-3.0,,win,8.0,TP1
APT/USDT,2023-01-14 09:00:00+00:00,2023,-7.31,1.92,7.4954,win,5.0,TP1,loss,-3.0,,loss,-4.0,
APT/USDT,2023-01-22 20:00:00+00:00,2023,-9.08,2.35,12.9832,win,5.0,TP1,win,5.0,TP1,win,8.0,TP1
APT/USDT,2023-03-10 06:00:00+00:00,2023,-7.04,1.73,10.4743,win,5.0,TP1,loss,-3.0,,loss,-4.0,
APT/USDT,2024-04-13 19:00:00+00:00,2024,-8.99,2.98,8.602,win,5.0,TP1,loss,-3.0,,loss,-4.0,
ARB/USDT,2023-03-24 14:00:00+00:00,2023,-7.92,1.54,1.3725,expired,-9.76,,loss,-3.0,,loss,-4.0,
ARB/USDT,2024-03-05 19:00:00+00:00,2024,-8.98,1.65,1.8777,win,5.0,TP1,win,5.0,TP1,win,8.0,TP1
ARB/USDT,2024-04-13 19:00:00+00:00,2024,-8.51,2.73,1.0041,win,5.0,TP1,win,5.0,TP1,loss,-4.0,
OP/USDT,2022-06-02 13:00:00+00:00,2022,-7.74,2.28,1.335,win,5.0,TP1,win,10.0,TP2,win,8.0,TP1
OP/USDT,2022-06-08 20:00:00+00:00,2022,-8.83,2.32,0.836,win,5.0,TP1,win,5.0,TP1,loss,-4.0,
