version,period,entry_ts,symbol,ret,kind,p10
V14,TRAIN,2026-06-13 16:59:59.999000072+00:00,DASHUSDT,2.8,W,0.49628394452752345
V14,TRAIN,2026-06-14 08:14:59.999000072+00:00,ZROUSDT,-0.2,F,0.5385186324892053
V14,TRAIN,2026-06-14 20:14:59.999000072+00:00,FILUSDT,2.8,W,0.6312526359506634
V14,TRAIN,2026-06-15 08:14:59.999000072+00:00,UNIUSDT,2.8,W,0.4653330744432294
V14,TRAIN,2026-06-16 00:14:59.999000072+00:00,WLDUSDT,-2.2,L,0.45943906384079686
V14,TRAIN,2026-06-16 12:44:59.999000072+00:00,WLDUSDT,-2.2,L,0.44189244671082645
V14,TRAIN,2026-06-17 00:44:59.999000072+00:00,FORMUSDT,2.8,W,0.5520673719349387
V14,TRAIN,2026-06-18 16:14:59.999000072+00:00,ARBUSDT,2.8,W,0.5607510583520068
V14,TRAIN,2026-06-19 12:14:59.999000072+00:00,ZROUSDT,2.8,W,0.44816106075554085
V14,TRAIN,2026-06-20 04:14:59.999000072+00:00,ENJUSDT,2.8,W,0.4899826453930259
V14,TRAIN,2026-06-20 20:14:59.999000072+00:00,AVAXUSDT,2.8,W,0.4882151987484462
V14,TRAIN,2026-06-21 08:14:59.999000072+00:00,FORMUSDT,2.8,W,0.440463671185108
V14,TRAIN,2026-06-23 08:44:59.999000072+00:00,ARBUSDT,2.8,W,0.49856063556650376
V14,TRAIN,2026-06-24 04:44:59.999000072+00:00,AAVEUSDT,2.8,W,0.5214622136513745
V14,TRAIN,2026-06-25 20:14:59.999000072+00:00,BCHUSDT,2.8,W,0.4552062792908499
V14,TRAIN,2026-06-26 12:14:59.999000072+00:00,ZROUSDT,2.8,W,0.6286661975813659
V14,TRAIN,2026-06-27 04:14:59.999000072+00:00,TIAUSDT,2.8,W,0.45172061644567246
V14,TRAIN,2026-06-28 08:29:59.999000072+00:00,ZROUSDT,-2.2,L,0.43489120599367614
V14,TRAIN,2026-06-29 00:44:59.999000072+00:00,ZECUSDT,2.8,W,0.45204715270663615
V14,TRAIN,2026-06-30 00:14:59.999000072+00:00,ADAUSDT,-0.2,F,0.5496040918709055
V14,TRAIN,2026-06-30 12:44:59.999000072+00:00,ARKUSDT,-0.2,F,0.5008923646926684
V14,TRAIN,2026-07-01 00:44:59.999000072+00:00,ADAUSDT,2.8,W,0.45482775746202403
V14,TRAIN,2026-07-01 12:59:59.999000072+00:00,BCHUSDT,2.8,W,0.5174922703905545
V14,TRAIN,2026-07-02 00:59:59.999000072+00:00,XRPUSDT,2.8,W,0.725061267706108
V14,TRAIN,2026-07-02 16:14:59.999000072+00:00,ZROUSDT,2.8,W,0.5446722240857274
V14,TRAIN,2026-07-03 04:14:59.999000072+00:00,ARKUSDT,-0.2,F,0.42669940829176445
V14,TRAIN,2026-07-03 16:29:59.999000072+00:00,APTUSDT,2.8,W,0.4792725206483971
V14,TRAIN,2026-07-04 04:44:59.999000072+00:00,ENJUSDT,2.8,W,0.5417693749461526
V14,TRAIN,2026-07-04 20:14:59.999000072+00:00,BCHUSDT,2.8,W,0.49781716633902184
V14,TRAIN,2026-07-05 12:14:59.999000072+00:00,WLDUSDT,-2.2,L,0.45923658647703247
V14,TRAIN,2026-07-08 08:14:59.999000072+00:00,WLDUSDT,-2.2,L,0.45752544003740836
V14,TRAIN,2026-07-09 00:14:59.999000072+00:00,EDUUSDT,2.8,W,0.55976644778313
V14,TRAIN,2026-07-09 12:14:59.999000072+00:00,BCHUSDT,-0.2,F,0.45776873731296785
V14,TRAIN,2026-07-10 00:14:59.999000072+00:00,AAVEUSDT,2.8,W,0.4716393277875293
V14,TRAIN,2026-07-10 16:14:59.999000072+00:00,ENJUSDT,2.8,W,0.4459664293317924
V14,TRAIN,2026-07-13 20:44:59.999000072+00:00,WLDUSDT,-2.2,L,0.44583839482938725
V14,TRAIN,2026-07-14 08:44:59.999000072+00:00,ZENUSDT,2.8,W,0.46042077851235547
V14,TRAIN,2026-07-14 20:44:59.999000072+00:00,ZECUSDT,2.8,W,0.4298457882240742
V14,TRAIN,2026-07-15 16:29:59.999000072+00:00,XLMUSDT,-0.2,F,0.462939789990177
V14,TRAIN,2026-07-18 04:14:59.999000072+00:00,SOLUSDT,-0.2,F,0.4229668435796626
V14,TRAIN,2026-07-19 04:29:59.999000072+00:00,HBARUSDT,-0.2,F,0.6290629618288603
V14,TRAIN,2026-07-19 16:29:59.999000072+00:00,HBARUSDT,-0.2,F,0.4514669251853373
V14,TRAIN,2026-07-20 20:29:59.999000072+00:00,OPUSDT,2.8,W,0.4562806338828894
V14,CAL,2026-07-22 04:14:59.999000072+00:00,ZROUSDT,2.8,W,0.7280250653446456
V14,CAL,2026-07-22 16:14:59.999000072+00:00,UNIUSDT,-2.2,L,0.4274320333901189
V14,CAL,2026-07-23 04:14:59.999000072+00:00,ZROUSDT,2.8,W,0.48501579691558383
V14,CAL,2026-07-25 00:59:59.999000072+00:00,DOTUSDT,-0.2,F,0.4234593584360773
V14,CAL,2026-07-25 16:14:59.999000072+00:00,RAYUSDT,-0.2,F,0.5293163775496837
V14,CAL,2026-07-26 04:29:59.999000072+00:00,WLDUSDT,2.8,W,0.4867791298996918
V14,CAL,2026-07-26 20:14:59.999000072+00:00,ACHUSDT,-0.2,F,0.5834339542525702
V14,CAL,2026-07-27 12:44:59.999000072+00:00,TIAUSDT,-2.2,L,0.47648642106166295
V14,CAL,2026-07-28 20:14:59.999000072+00:00,ZROUSDT,-2.2,L,0.44966536474549157
V14,CAL,2026-07-29 16:29:59.999000072+00:00,UNIUSDT,-2.2,L,0.43992298610284547
V14,CAL,2026-07-30 08:14:59.999000072+00:00,ZROUSDT,-0.2,F,0.458981231417917
V14,CAL,2026-07-31 00:14:59.999000072+00:00,FILUSDT,-0.2,F,0.425763213342244
V14,CAL,2026-07-31 12:29:59.999000072+00:00,TIAUSDT,-0.2,F,0.46057506660922154
V14,CAL,2026-08-01 08:59:59.999000072+00:00,ETHUSDT,-2.2,L,0.4722468486245992
V14,CAL,2026-08-02 12:59:59.999000072+00:00,APTUSDT,-0.2,F,0.44666428472190395
V14,CAL,2026-08-03 04:14:59.999000072+00:00,ATOMUSDT,2.8,W,0.4710169224494181
V14,CAL,2026-08-03 20:29:59.999000072+00:00,OPUSDT,-0.2,F,0.4752509690491695
V14,CAL,2026-08-04 08:44:59.999000072+00:00,ARKUSDT,-0.2,F,0.42679940954697193
V14,CAL,2026-08-05 00:14:59.999000072+00:00,UNIUSDT,2.8,W,0.45396300492299096
V14,CAL,2026-08-05 12:14:59.999000072+00:00,ZROUSDT,-0.2,F,0.4907291666607508
V14,TEST,2026-08-06 00:14:59.999000072+00:00,ARKUSDT,2.8,W,0.4405774637991055
V14,TEST,2026-08-06 16:44:59.999000072+00:00,WLDUSDT,-2.2,L,0.45298452184161514
V14,TEST,2026-08-07 08:14:59.999000072+00:00,RENDERUSDT,-0.2,F,0.555947916244613
V14,TEST,2026-08-08 20:14:59.999000072+00:00,ETCUSDT,-0.2,F,0.4316704068723895
V14,TEST,2026-08-09 08:14:59.999000072+00:00,RENDERUSDT,-0.2,F,0.5957627725105655
V14,TEST,2026-08-10 08:29:59.999000072+00:00,FORMUSDT,-2.2,L,0.4217117941385541
V14,TEST,2026-08-12 08:14:59.999000072+00:00,FORMUSDT,-0.2,F,0.43546666175447757
V14,TEST,2026-08-13 12:14:59.999000072+00:00,XLMUSDT,-0.2,F,0.43374595279234496
V14,TEST,2026-08-14 04:14:59.999000072+00:00,TIAUSDT,-2.2,L,0.4744435233551986
V14,TEST,2026-08-15 08:14:59.999000072+00:00,FILUSDT,-0.2,F,0.4927862822399985
V14,TEST,2026-08-16 16:14:59.999000072+00:00,FORMUSDT,-2.2,L,0.4584980686170481
V14,TEST,2026-08-17 20:14:59.999000072+00:00,FORMUSDT,-0.2,F,0.42216879985670813
V14,TEST,2026-08-18 12:29:59.999000072+00:00,TIAUSDT,-0.2,F,0.5248174311659739
V14,TEST,2026-08-19 00:29:59.999000072+00:00,ATOMUSDT,-0.2,F,0.4792087666338434
V14,TEST,2026-08-20 04:14:59.999000072+00:00,ADAUSDT,2.8,W,0.49281326768302525
V14,TEST,2026-08-26 12:29:59.999000072+00:00,FORMUSDT,-2.2,L,0.4940250171210365
V14,TEST,2026-08-27 04:14:59.999000072+00:00,SOLUSDT,2.8,W,0.42912044191975623
V14,TEST,2026-08-27 20:29:59.999000072+00:00,BNBUSDT,-0.2,F,0.4846633290240501
V14,TEST,2026-08-30 20:14:59.999000072+00:00,LINKUSDT,-2.2,L,0.47162711149812236
V14,TEST,2026-09-01 00:14:59.999000072+00:00,LTCUSDT,-0.2,F,0.4514807854903533
V14,TEST,2026-09-03 00:14:59.999000072+00:00,ARBUSDT,2.8,W,0.4359714090070895
V14,TEST,2026-09-04 00:14:59.999000072+00:00,ZENUSDT,-2.2,L,0.4258276036932979
V16,TRAIN,2026-06-07 00:14:59.999000072+00:00,ZECUSDT,3.8,TARGET,0.7598314123072102
V16,TRAIN,2026-06-07 04:14:59.999000072+00:00,NEARUSDT,3.8,TARGET,0.5286899659573505
V16,TRAIN,2026-06-07 08:44:59.999000072+00:00,ZECUSDT,3.8,TARGET,0.660678087679246
V16,TRAIN,2026-06-07 12:29:59.999000072+00:00,WLDUSDT,3.8,TARGET,0.4662003153298173
V16,TRAIN,2026-06-07 16:14:59.999000072+00:00,UNIUSDT,3.8,TARGET,0.5326339771044061
V16,TRAIN,2026-06-08 08:59:59.999000072+00:00,BCHUSDT,3.8,TARGET,0.5277173986198896
V16,TRAIN,2026-06-09 00:44:59.999000072+00:00,ZROUSDT,3.8,TARGET,0.5763487665713327
V16,TRAIN,2026-06-09 16:29:59.999000072+00:00,AVAXUSDT,0.5500382672585238,TIME,0.6159239041518322
V16,TRAIN,2026-06-10 08:29:59.999000072+00:00,EDUUSDT,3.8,TARGET,0.49907683975807365
V16,TRAIN,2026-06-10 20:29:59.999000072+00:00,TIAUSDT,-2.2,STOP,0.5058386564837567
V16,TRAIN,2026-06-11 00:14:59.999000072+00:00,BCHUSDT,2.6659160696008266,TIME,0.6348127553833158
V16,TRAIN,2026-06-11 12:44:59.999000072+00:00,BCHUSDT,3.8,TARGET,0.45669360503324374
V16,TRAIN,2026-06-12 00:14:59.999000072+00:00,OPUSDT,3.8,TARGET,0.46929010004948163
V16,TRAIN,2026-06-12 16:14:59.999000072+00:00,ZROUSDT,-1.0800880088008833,RESCUE,0.5074141333015435
V16,TRAIN,2026-06-12 20:14:59.999000072+00:00,SEIUSDT,-2.2,STOP,0.5005146990837027
V16,TRAIN,2026-06-13 00:14:59.999000072+00:00,SEIUSDT,3.8,TARGET,0.5366033798334328
V16,TRAIN,2026-06-13 08:14:59.999000072+00:00,FILUSDT,0.8269576379974277,TIME,0.4423134019462064
V16,TRAIN,2026-06-13 20:14:59.999000072+00:00,RENDERUSDT,0.7106431417188477,TIME,0.44572128099697716
V16,TRAIN,2026-06-14 08:14:59.999000072+00:00,ZROUSDT,-1.1667024704618665,TIME,0.5385186324892053
V16,TRAIN,2026-06-14 20:14:59.999000072+00:00,FILUSDT,3.8,TARGET,0.6312526359506634
V16,TRAIN,2026-06-15 00:14:59.999000072+00:00,AAVEUSDT,3.8,TARGET,0.4994296875574866
V16,TRAIN,2026-06-15 08:14:59.999000072+00:00,UNIUSDT,3.8,TARGET,0.4653330744432294
V16,TRAIN,2026-06-16 00:14:59.999000072+00:00,WLDUSDT,-2.2,STOP,0.45943906384079686
V16,TRAIN,2026-06-16 08:14:59.999000072+00:00,WLDUSDT,3.8,TARGET,0.4751395606346183
V16,TRAIN,2026-06-16 12:44:59.999000072+00:00,WLDUSDT,-2.2,STOP,0.44189244671082645
V16,TRAIN,2026-06-16 16:29:59.999000072+00:00,WLDUSDT,3.8,TARGET,0.44147146125090414
V16,TRAIN,2026-06-16 20:44:59.999000072+00:00,WLDUSDT,3.8,TARGET,0.4429194945619457
V16,TRAIN,2026-06-18 16:14:59.999000072+00:00,ARBUSDT,3.8,TARGET,0.5607510583520068
V16,TRAIN,2026-06-19 12:14:59.999000072+00:00,ZROUSDT,3.8,TARGET,0.44816106075554085
V16,TRAIN,2026-06-19 20:14:59.999000072+00:00,BCHUSDT,0.6607594936708818,TIME,0.5106597050363377
V16,TRAIN,2026-06-20 20:14:59.999000072+00:00,AVAXUSDT,2.6701891715590342,TIME,0.4882151987484462
V16,TRAIN,2026-06-21 08:14:59.999000072+00:00,FORMUSDT,3.8,TARGET,0.440463671185108
V16,TRAIN,2026-06-23 08:44:59.999000072+00:00,ARBUSDT,3.8,TARGET,0.49856063556650376
V16,TRAIN,2026-06-24 04:44:59.999000072+00:00,AAVEUSDT,3.8,TARGET,0.5214622136513745
V16,TRAIN,2026-06-25 20:14:59.999000072+00:00,BCHUSDT,3.8,TARGET,0.4552062792908499
V16,TRAIN,2026-06-26 12:14:59.999000072+00:00,ZROUSDT,3.8,TARGET,0.6286661975813659
V16,TRAIN,2026-06-27 04:14:59.999000072+00:00,TIAUSDT,1.6478843063738593,TIME,0.45172061644567246
V16,TRAIN,2026-06-29 00:44:59.999000072+00:00,ZECUSDT,3.8,TARGET,0.45204715270663615
V16,TRAIN,2026-06-30 00:14:59.999000072+00:00,ADAUSDT,-1.639342015078815,RESCUE,0.5496040918709055
V16,TRAIN,2026-06-30 04:14:59.999000072+00:00,ZECUSDT,-2.2,STOP,0.5764417146291471
V16,TRAIN,2026-06-30 12:44:59.999000072+00:00,ARKUSDT,-0.7725190839694693,TIME,0.5008923646926684
V16,TRAIN,2026-07-01 00:44:59.999000072+00:00,ADAUSDT,3.8,TARGET,0.45482775746202403
V16,TRAIN,2026-07-01 04:14:59.999000072+00:00,ARBUSDT,0.3161290322580614,TIME,0.5131659638718289
V16,TRAIN,2026-07-01 20:14:59.999000072+00:00,RENDERUSDT,3.8,TARGET,0.5610928250034541
V16,TRAIN,2026-07-02 04:14:59.999000072+00:00,ZROUSDT,3.8,TARGET,0.5196750070065753
V16,TRAIN,2026-07-02 16:14:59.999000072+00:00,ZROUSDT,3.8,TARGET,0.5446722240857274
V16,TRAIN,2026-07-02 20:14:59.999000072+00:00,TIAUSDT,-1.2281385281385224,RESCUE,0.4786255666952231
V16,TRAIN,2026-07-03 00:14:59.999000072+00:00,ENJUSDT,3.8,TARGET,0.45778212036775645
