entry_time,symbol,kind,score,rank,btc_regime,entry,stop,tp1,tp2,variant
2026-08-30 09:15:00+00:00,AUSDT,MID_40_70,82.0,88.0,GREEN,0.0765,0.074295,0.0786,0.0815,MID_40_70_SIGNALS
2026-08-30 09:30:00+00:00,TWTUSDT,MID_40_70,82.0,90.0,GREEN,0.4828,0.4624425,0.5079,0.518058,MID_40_70_SIGNALS
2026-08-30 09:30:00+00:00,ZRXUSDT,MID_40_70,82.0,90.0,GREEN,0.0974,0.09437999999999999,0.1002,0.102757,MID_40_70_SIGNALS
2026-08-30 09:30:00+00:00,BELUSDT,MID_40_70,82.0,88.5,GREEN,0.1192,0.114855,0.123372,0.12583944,MID_40_70_SIGNALS
2026-08-30 09:30:00+00:00,TFUELUSDT,MID_40_70,82.0,87.5,GREEN,0.00918,0.008891999999999999,0.00946,0.01012,MID_40_70_SIGNALS
2026-08-30 09:45:00+00:00,TUSDT,MID_40_70,82.0,88.25,GREEN,0.00369,0.00355875,0.00381915,0.003895533,MID_40_70_SIGNALS
2026-08-30 09:45:00+00:00,SIGNUSDT,MID_40_70,82.0,88.0,GREEN,0.00864,0.00812175,0.0089424,0.009121248,MID_40_70_SIGNALS
2026-08-30 09:45:00+00:00,BARDUSDT,MID_40_70,82.0,87.5,GREEN,0.1265,0.1170975,0.13,0.1334575,MID_40_70_SIGNALS
2026-08-30 10:00:00+00:00,SIGNUSDT,MID_40_70,82.0,90.0,GREEN,0.00866,0.00812175,0.008963099999999998,0.009142361999999998,MID_40_70_SIGNALS
2026-08-30 10:00:00+00:00,BARDUSDT,MID_40_70,82.0,89.5,GREEN,0.1259,0.1170975,0.13,0.1328245,MID_40_70_SIGNALS
2026-08-30 10:00:00+00:00,EGLDUSDT,MID_40_70,82.0,89.5,GREEN,3.904,3.49245,4.04064,4.1214528,MID_40_70_SIGNALS
2026-08-30 10:00:00+00:00,BREVUSDT,MID_40_70,82.0,88.25,GREEN,0.0754,0.070395,0.07803899999999998,0.07959977999999998,MID_40_70_SIGNALS
2026-08-30 10:15:00+00:00,AUDIOUSDT,MID_40_70,82.0,89.5,GREEN,0.01317,0.012714,0.01366,0.0139332,MID_40_70_SIGNALS
2026-08-30 10:15:00+00:00,LDOUSDT,MID_40_70,82.0,89.5,GREEN,0.3603,0.351,0.3701,0.38011649999999997,MID_40_70_SIGNALS
2026-08-30 10:15:00+00:00,BATUSDT,MID_40_70,82.0,88.25,GREEN,0.0687,0.0663,0.0706,0.0722,MID_40_70_SIGNALS
2026-08-30 10:30:00+00:00,AVAXUSDT,MID_40_70,82.0,90.0,GREEN,7.351,7.122375,7.597,7.755305,MID_40_70_SIGNALS
2026-08-30 10:30:00+00:00,KERNELUSDT,MID_40_70,82.0,90.0,GREEN,0.039,0.0373425,0.040365,0.0411723,MID_40_70_SIGNALS
2026-08-30 10:30:00+00:00,OGNUSDT,MID_40_70,82.0,90.0,GREEN,0.01852,0.01794975,0.019168199999999996,0.019551563999999997,MID_40_70_SIGNALS
2026-08-30 10:30:00+00:00,PIXELUSDT,MID_40_70,82.0,90.0,GREEN,0.00505,0.004875,0.00519,0.005327749999999999,MID_40_70_SIGNALS
2026-08-30 10:30:00+00:00,ACHUSDT,MID_40_70,82.0,89.5,GREEN,0.00502,0.004875,0.00516,0.0052961,MID_40_70_SIGNALS
2026-08-30 10:30:00+00:00,AUDIOUSDT,MID_40_70,82.0,89.5,GREEN,0.01314,0.012714,0.01366,0.0139332,MID_40_70_SIGNALS
2026-08-30 10:30:00+00:00,LDOUSDT,MID_40_70,82.0,89.5,GREEN,0.3601,0.351,0.3701,0.37990549999999995,MID_40_70_SIGNALS
2026-08-30 10:30:00+00:00,BATUSDT,MID_40_70,82.0,88.25,GREEN,0.0688,0.0663,0.0706,0.072584,MID_40_70_SIGNALS
2026-08-30 10:45:00+00:00,AVAXUSDT,MID_40_70,82.0,90.0,GREEN,7.38,7.122375,7.597,7.7859,MID_40_70_SIGNALS
2026-08-30 10:45:00+00:00,BELUSDT,MID_40_70,82.0,90.0,GREEN,0.1196,0.114855,0.123786,0.12626172,MID_40_70_SIGNALS
2026-08-30 10:45:00+00:00,PIXELUSDT,MID_40_70,82.0,90.0,GREEN,0.00507,0.004875,0.0052,0.00534885,MID_40_70_SIGNALS
2026-08-30 10:45:00+00:00,LDOUSDT,MID_40_70,82.0,89.5,GREEN,0.3611,0.351,0.3745,0.38199,MID_40_70_SIGNALS
2026-08-30 10:45:00+00:00,COWUSDT,MID_40_70,82.0,89.25,GREEN,0.1244,0.11895,0.1276,0.1342,MID_40_70_SIGNALS
2026-08-30 10:45:00+00:00,RADUSDT,MID_40_70,82.0,89.25,GREEN,0.235,0.22717500000000002,0.24322499999999997,0.24808949999999996,MID_40_70_SIGNALS
2026-08-30 10:45:00+00:00,MTLUSDT,MID_40_70,82.0,88.5,GREEN,0.239,0.22717500000000002,0.301,0.30702,MID_40_70_SIGNALS
2026-08-30 10:45:00+00:00,BATUSDT,MID_40_70,82.0,88.25,GREEN,0.069,0.0663,0.0722,0.073644,MID_40_70_SIGNALS
2026-08-30 10:45:00+00:00,CELRUSDT,MID_40_70,82.0,88.25,GREEN,0.002451,0.002340975,0.002548,0.00259896,MID_40_70_SIGNALS
2026-08-30 11:00:00+00:00,XVGUSDT,MID_40_70,82.0,90.0,GREEN,0.00248,0.0023868,0.002563,0.002609,MID_40_70_SIGNALS
2026-08-30 11:00:00+00:00,PLUMEUSDT,MID_40_70,82.0,90.0,GREEN,0.0145,0.013923,0.0150075,0.01530765,MID_40_70_SIGNALS
2026-08-30 11:00:00+00:00,COWUSDT,MID_40_70,82.0,90.0,GREEN,0.125,0.11895,0.1292,0.1342,MID_40_70_SIGNALS
2026-08-30 11:00:00+00:00,REQUSDT,MID_40_70,82.0,90.0,GREEN,0.0563,0.054697499999999996,0.0581,0.0593965,MID_40_70_SIGNALS
2026-08-30 11:15:00+00:00,NEXOUSDT,MID_40_70,82.0,90.0,GREEN,0.865,0.82095,0.8952749999999999,0.9131805,MID_40_70_SIGNALS
2026-08-30 11:15:00+00:00,AUDIOUSDT,MID_40_70,82.0,90.0,GREEN,0.01323,0.01274325,0.01366,0.01395765,MID_40_70_SIGNALS
2026-08-30 11:30:00+00:00,NEXOUSDT,MID_40_70,82.0,90.0,GREEN,0.862,0.82095,0.8921699999999999,0.9100134,MID_40_70_SIGNALS
2026-08-30 11:30:00+00:00,SHELLUSDT,MID_40_70,82.0,90.0,GREEN,0.0227,0.02184,0.023494499999999998,0.02396439,MID_40_70_SIGNALS
2026-08-30 11:45:00+00:00,SHELLUSDT,MID_40_70,82.0,90.0,GREEN,0.0227,0.02184,0.023494499999999998,0.02396439,MID_40_70_SIGNALS
2026-08-30 12:00:00+00:00,XVGUSDT,MID_40_70,82.0,90.0,GREEN,0.00248,0.0023868,0.002563,0.002609,MID_40_70_SIGNALS
2026-08-30 12:00:00+00:00,VTHOUSDT,MID_40_70,82.0,89.5,GREEN,0.000414,0.00039585,0.00043,0.0004386,MID_40_70_SIGNALS
2026-08-30 12:15:00+00:00,XVGUSDT,MID_40_70,82.0,90.0,GREEN,0.00248,0.0023868,0.002563,0.002609,MID_40_70_SIGNALS
2026-08-30 12:15:00+00:00,CELOUSDT,MID_40_70,82.0,89.5,GREEN,0.07712,0.07337849999999999,0.07906,0.08136159999999999,MID_40_70_SIGNALS
2026-08-30 12:30:00+00:00,NILUSDT,MID_40_70,82.0,90.0,GREEN,0.0568,0.052679250000000004,0.05988,0.06416,MID_40_70_SIGNALS
2026-08-30 12:30:00+00:00,TREEUSDT,MID_40_70,82.0,90.0,GREEN,0.0397,0.0369525,0.0408,0.0418835,MID_40_70_SIGNALS
2026-08-30 12:30:00+00:00,SAGAUSDT,MID_40_70,82.0,90.0,GREEN,0.01584,0.01492725,0.0163944,0.016722288000000002,MID_40_70_SIGNALS
2026-08-30 12:30:00+00:00,ZRXUSDT,MID_40_70,82.0,89.5,GREEN,0.0982,0.09437999999999999,0.1009,0.10360099999999998,MID_40_70_SIGNALS
2026-08-30 12:45:00+00:00,NILUSDT,MID_40_70,82.0,90.0,GREEN,0.05666,0.052679250000000004,0.05988,0.06416,MID_40_70_SIGNALS
2026-08-30 12:45:00+00:00,TREEUSDT,MID_40_70,82.0,90.0,GREEN,0.04,0.0369525,0.0414,0.042228,MID_40_70_SIGNALS
2026-08-30 13:00:00+00:00,SSVUSDT,MID_40_70,82.0,90.0,GREEN,2.723,2.61105,2.8183049999999996,2.8746710999999996,MID_40_70_SIGNALS
2026-08-30 13:30:00+00:00,CHZUSDT,MID_40_70,82.0,90.0,GREEN,0.01395,0.01340625,0.0146,0.01473,MID_40_70_SIGNALS
2026-08-30 13:30:00+00:00,PENGUUSDT,MID_40_70,82.0,90.0,GREEN,0.009252,0.00887445,0.009602,0.00979404,MID_40_70_SIGNALS
2026-08-30 13:30:00+00:00,PNUTUSDT,MID_40_70,82.0,90.0,GREEN,0.0512,0.0496275,0.0541,0.055182,MID_40_70_SIGNALS
2026-08-30 13:30:00+00:00,SKYUSDT,MID_40_70,82.0,90.0,GREEN,0.07089,0.0665145,0.07337114999999998,0.07483857299999998,MID_40_70_SIGNALS
2026-08-30 13:45:00+00:00,AVAXUSDT,MID_40_70,82.0,90.0,GREEN,7.426,7.122375,7.649,7.834429999999999,MID_40_70_SIGNALS
2026-08-30 14:00:00+00:00,KSMUSDT,MID_40_70,82.0,90.0,GREEN,3.65,3.50025,3.7777499999999997,3.8533049999999998,MID_40_70_SIGNALS
2026-08-30 14:00:00+00:00,SLPUSDT,MID_40_70,82.0,90.0,GREEN,0.000624,0.0006006,0.000656,0.000659,MID_40_70_SIGNALS
2026-08-30 14:00:00+00:00,ETHUSDT,MID_40_70,82.0,90.0,GREEN,2475.59,2390.49525,2562.23565,2613.480363,MID_40_70_SIGNALS
2026-08-30 14:00:00+00:00,MAVUSDT,MID_40_70,82.0,90.0,GREEN,0.01107,0.010686,0.01136,0.01167885,MID_40_70_SIGNALS
2026-08-30 14:00:00+00:00,PIXELUSDT,MID_40_70,82.0,90.0,GREEN,0.00506,0.0048945,0.00519,0.0053383,MID_40_70_SIGNALS
2026-08-30 14:00:00+00:00,PNUTUSDT,MID_40_70,82.0,90.0,GREEN,0.0514,0.0496275,0.0541,0.055182,MID_40_70_SIGNALS
2026-08-30 14:00:00+00:00,ZECUSDT,MID_40_70,82.0,90.0,GREEN,850.82,805.53525,888.0,905.76,MID_40_70_SIGNALS
2026-08-30 14:00:00+00:00,CKBUSDT,MID_40_70,82.0,89.5,GREEN,0.001075,0.0009935249999999999,0.001112625,0.0011348775,MID_40_70_SIGNALS
2026-08-30 14:00:00+00:00,OGNUSDT,MID_40_70,82.0,89.5,GREEN,0.01858,0.01794975,0.0192303,0.019614905999999998,MID_40_70_SIGNALS
2026-08-30 14:15:00+00:00,ACHUSDT,MID_40_70,82.0,90.0,GREEN,0.00502,0.004875,0.00516,0.0052961,MID_40_70_SIGNALS
2026-08-30 14:15:00+00:00,DASHUSDT,MID_40_70,82.0,90.0,GREEN,41.41,39.92625,42.63,43.78,MID_40_70_SIGNALS
2026-08-30 14:15:00+00:00,DCRUSDT,MID_40_70,82.0,90.0,GREEN,14.1,13.5525,14.593499999999999,14.885369999999998,MID_40_70_SIGNALS
2026-08-30 14:15:00+00:00,BARDUSDT,MID_40_70,82.0,90.0,GREEN,0.1279,0.1170975,0.1323765,0.13502403000000002,MID_40_70_SIGNALS
2026-08-30 14:15:00+00:00,PIXELUSDT,MID_40_70,82.0,90.0,GREEN,0.00506,0.0048945,0.00519,0.0053383,MID_40_70_SIGNALS
2026-08-30 14:15:00+00:00,ZECUSDT,MID_40_70,82.0,90.0,GREEN,853.24,805.53525,888.0,905.76,MID_40_70_SIGNALS
2026-08-30 14:30:00+00:00,FTTUSDT,MID_40_70,82.0,89.5,GREEN,0.2306,0.22035,0.238671,0.24344442,MID_40_70_SIGNALS
2026-08-30 14:45:00+00:00,REDUSDT,MID_40_70,82.0,90.0,GREEN,0.111,0.10588499999999999,0.115,0.1186,MID_40_70_SIGNALS
2026-08-30 14:45:00+00:00,FTTUSDT,MID_40_70,82.0,89.5,GREEN,0.2292,0.22035,0.2361,0.24180599999999997,MID_40_70_SIGNALS
2026-08-30 15:00:00+00:00,LUMIAUSDT,MID_40_70,82.0,90.0,GREEN,0.0863,0.08385,0.0885,0.0907,MID_40_70_SIGNALS
2026-08-30 15:00:00+00:00,KSMUSDT,MID_40_70,82.0,90.0,GREEN,3.64,3.50025,3.74,3.8402,MID_40_70_SIGNALS
2026-08-30 15:00:00+00:00,REDUSDT,MID_40_70,82.0,90.0,GREEN,0.1107,0.10588499999999999,0.115,0.1186,MID_40_70_SIGNALS
2026-08-30 15:00:00+00:00,GMXUSDT,MID_40_70,82.0,89.5,GREEN,7.85,7.49775,8.26,8.4252,MID_40_70_SIGNALS
2026-08-30 15:00:00+00:00,NILUSDT,MID_40_70,82.0,89.5,GREEN,0.05639,0.052679250000000004,0.05805,0.05988,MID_40_70_SIGNALS
2026-08-30 15:00:00+00:00,WUSDT,MID_40_70,82.0,89.5,GREEN,0.0095,0.009116250000000001,0.00983,0.0100266,MID_40_70_SIGNALS
2026-08-30 15:15:00+00:00,LUMIAUSDT,MID_40_70,82.0,90.0,GREEN,0.0864,0.08385,0.0899,0.0928,MID_40_70_SIGNALS
2026-08-30 15:15:00+00:00,ROSEUSDT,MID_40_70,82.0,90.0,GREEN,0.00604,0.0058305,0.0062514,0.006376428,MID_40_70_SIGNALS
2026-08-30 15:15:00+00:00,FLUXUSDT,MID_40_70,82.0,90.0,GREEN,0.049,0.046215,0.050714999999999996,0.0517293,MID_40_70_SIGNALS
2026-08-30 15:15:00+00:00,IOTXUSDT,MID_40_70,82.0,90.0,GREEN,0.00288,0.00277485,0.0029808,0.003040416,MID_40_70_SIGNALS
2026-08-30 15:15:00+00:00,CTKUSDT,MID_40_70,82.0,89.5,GREEN,0.1197,0.1157325,0.1228,0.1262835,MID_40_70_SIGNALS
2026-08-30 15:15:00+00:00,SIGNUSDT,MID_40_70,82.0,89.5,GREEN,0.00865,0.00812175,0.008952749999999999,0.009131805,MID_40_70_SIGNALS
2026-08-30 15:15:00+00:00,WUSDT,MID_40_70,82.0,89.5,GREEN,0.00955,0.009116250000000001,0.00983,0.01007525,MID_40_70_SIGNALS
2026-08-30 15:15:00+00:00,PORTOUSDT,MID_40_70,82.0,89.25,GREEN,0.458,0.4446,0.47403,0.4835106,MID_40_70_SIGNALS
2026-08-30 15:30:00+00:00,IOTXUSDT,MID_40_70,82.0,90.0,GREEN,0.002883,0.00277485,0.002983905,0.0030435831,MID_40_70_SIGNALS
2026-08-30 15:30:00+00:00,ZECUSDT,MID_40_70,82.0,90.0,GREEN,858.5,805.53525,888.0,905.76,MID_40_70_SIGNALS
2026-08-30 15:30:00+00:00,SIGNUSDT,MID_40_70,82.0,89.5,GREEN,0.00865,0.00812175,0.008952749999999999,0.009131805,MID_40_70_SIGNALS
2026-08-30 15:30:00+00:00,WUSDT,MID_40_70,82.0,89.5,GREEN,0.00954,0.009116250000000001,0.00983,0.0100647,MID_40_70_SIGNALS
2026-08-30 15:30:00+00:00,PORTOUSDT,MID_40_70,82.0,89.25,GREEN,0.458,0.4446,0.47403,0.4835106,MID_40_70_SIGNALS
2026-08-30 15:45:00+00:00,DASHUSDT,MID_40_70,82.0,90.0,GREEN,41.7,39.92625,43.78,44.0,MID_40_70_SIGNALS
2026-08-30 15:45:00+00:00,ROSEUSDT,MID_40_70,82.0,90.0,GREEN,0.00605,0.0058305,0.006261749999999999,0.0063869849999999995,MID_40_70_SIGNALS
2026-08-30 15:45:00+00:00,AUCTIONUSDT,MID_40_70,82.0,90.0,GREEN,3.754,3.14925,3.9,3.9779999999999998,MID_40_70_SIGNALS
2026-08-30 15:45:00+00:00,SIGNUSDT,MID_40_70,82.0,89.5,GREEN,0.00866,0.00812175,0.008963099999999998,0.009142361999999998,MID_40_70_SIGNALS
2026-08-30 15:45:00+00:00,ETHUSDT,MID_40_70,82.0,89.25,GREEN,2479.95,2390.49525,2566.7482499999996,2618.0832149999997,MID_40_70_SIGNALS
2026-08-30 16:00:00+00:00,BARDUSDT,MID_40_70,82.0,90.0,GREEN,0.1283,0.1170975,0.13279049999999998,0.13544631,MID_40_70_SIGNALS
2026-08-30 16:00:00+00:00,SCRUSDT,MID_40_70,82.0,89.25,GREEN,0.02408,0.02317575,0.02516,0.028,MID_40_70_SIGNALS
2026-08-30 16:00:00+00:00,THEUSDT,MID_40_70,82.0,89.25,GREEN,0.0697,0.0677625,0.0719,0.07353349999999999,MID_40_70_SIGNALS
2026-08-30 16:00:00+00:00,BNBUSDT,MID_40_70,82.0,88.5,GREEN,699.41,675.6165000000001,723.8893499999999,738.367137,MID_40_70_SIGNALS
2026-08-30 16:00:00+00:00,LTCUSDT,MID_40_70,82.0,88.5,GREEN,50.02,48.213750000000005,52.99,53.2,MID_40_70_SIGNALS
2026-08-30 16:00:00+00:00,DGBUSDT,MID_40_70,82.0,88.25,GREEN,0.00489,0.00472875,0.0050611499999999995,0.005162373,MID_40_70_SIGNALS
2026-08-30 16:00:00+00:00,HOLOUSDT,MID_40_70,82.0,88.25,GREEN,0.068,0.06405749999999999,0.0716,0.072,MID_40_70_SIGNALS
2026-08-30 16:00:00+00:00,TSLABUSDT,MID_40_70,82.0,88.25,GREEN,351.96,341.7765,364.2785999999999,371.5641719999999,MID_40_70_SIGNALS
2026-08-30 16:00:00+00:00,REQUSDT,MID_40_70,82.0,88.0,GREEN,0.0565,0.05499,0.058477499999999995,0.05964704999999999,MID_40_70_SIGNALS
2026-08-30 16:00:00+00:00,GMXUSDT,MID_40_70,82.0,87.5,GREEN,7.81,7.49775,8.26,8.4252,MID_40_70_SIGNALS
2026-08-30 16:15:00+00:00,LUMIAUSDT,MID_40_70,82.0,90.0,GREEN,0.0865,0.08355749999999999,0.0899,0.091698,MID_40_70_SIGNALS
