objective,dd_trigger,reduced_exposure,loss_trigger,cooldown_h,trades,wins,losses,flat,end,return_pct,maxdd,avg_exposure
-11.37056403710986,4.0,0.8,2,24,19,9,10,0,2626.3015904731838,5.0520636189273604,-6.02371108548152,0.9578947368421052
-11.646636569206775,4.0,0.65,2,24,19,9,10,0,2613.2196951956485,4.528787807825929,-5.971668289901622,0.9078947368421053
-11.914962258285435,4.0,0.5,1,6,19,9,10,0,2586.938476361261,3.4775390544504514,-5.806842381628607,0.6842105263157895
-12.205101223058719,3.0,0.35,2,24,19,9,10,0,2526.5500525253533,1.0620021010141256,-5.35939017348902,0.7263157894736842
-12.561626618495778,1.5,0.5,1,6,19,9,10,0,2547.1718645421515,1.88687458168606,-5.608105515827755,0.5789473684210527
-13.060321292780987,1.5,0.35,3,24,18,8,10,0,2520.808113789512,0.8323245515804878,-5.488978072497153,0.45833333333333326
-13.060321292780987,2.0,0.35,3,24,18,8,10,0,2520.808113789512,0.8323245515804878,-5.488978072497153,0.45833333333333326
-13.4914790593063,3.0,0.5,1,6,19,9,10,0,2547.5255563357396,1.901022253429585,-5.806842381628607,0.6578947368421053
-13.601221795824614,2.0,0.35,3,6,20,9,11,0,2518.2362217540212,0.7294488701608426,-5.58540435073378,0.4474999999999999
-13.601221795824614,1.5,0.35,3,6,20,9,11,0,2518.2362217540212,0.7294488701608426,-5.58540435073378,0.4474999999999999
-13.665944071930078,3.0,0.8,1,0,21,10,11,0,2612.4887453803385,4.499549815213544,-6.394840818346026,0.8666666666666668
-13.693580676687503,3.0,0.8,2,0,21,10,11,0,2611.7978302614006,4.471913210456013,-6.394840818346004,0.8952380952380953
-13.693580676687503,3.0,0.8,3,0,21,10,11,0,2611.7978302614006,4.471913210456013,-6.394840818346004,0.8952380952380953
-13.798873220740756,3.0,0.35,3,24,18,8,10,0,2519.282628583394,0.7713051433357654,-5.63161649770032,0.675
-13.817695227588908,1.5,0.35,2,6,19,8,11,0,2517.2894809830404,0.6915792393216158,-5.620899887770636,0.45263157894736833
-13.817695227588908,2.0,0.35,2,6,19,8,11,0,2517.2894809830404,0.6915792393216158,-5.620899887770636,0.45263157894736833
